model_family,scenario,mean_high_delta_rmse_pct
fast_temporal_topology,stuck_sensor,380.1587977238091
fast_temporal_topology,spike_noise,169.0060894308164
fast_temporal_topology,gaussian_noise,168.36648695963174
fast_temporal_topology,outage_block,107.82494403385589
fast_temporal_topology,time_shift,53.200158212138085
fast_temporal_topology,random_missing,11.84809235656979
ridge_selected,stuck_sensor,261.4111885693923
ridge_selected,gaussian_noise,134.9990849256487
ridge_selected,spike_noise,133.86944389425332
ridge_selected,outage_block,61.218682888433726
ridge_selected,time_shift,23.349494387276355
ridge_selected,random_missing,3.353415494114614
dtfr,spike_noise,178.17770027933875
dtfr,stuck_sensor,173.51447209855155
dtfr,gaussian_noise,151.85157024239854
dtfr,outage_block,39.34811285347294
dtfr,time_shift,14.66109252816545
dtfr,random_missing,-6.087536269271404

