variant,score_spearman_vs_full,score_pearson_vs_full,grade_exact_agreement,grade_quadratic_weighted_kappa,n_A,n_B,n_C,n_D
full,1.0,1.0,1.0,1.0,19,36,33,25
minus_continuity,0.9217679153636305,0.932844592929498,0.4601769911504424,0.6966185216652506,45,35,24,9
minus_coverage,0.9926288189289268,0.9781553766631148,0.4601769911504424,0.7534427871373895,7,23,34,49
minus_plausibility,0.9978375141393308,0.9957954846985144,0.8407079646017699,0.9227849062333916,13,38,29,33
minus_stability,0.8524602435291769,0.9252804949024463,0.4513274336283185,0.6996311164153195,67,1,25,20
minus_temporal_consistency,0.9882976245924548,0.9774281736946372,0.9026548672566372,0.950578505824818,15,37,36,25
only_continuity,0.7657220652646439,0.8069969493155021,0.3274336283185841,0.379822437449556,0,1,68,44
only_coverage,0.7715333688202808,0.7569822911309079,0.1946902654867256,0.2095630509773859,100,2,8,3
only_plausibility,0.2409886942419619,0.2975661611347778,0.1858407079646017,0.0655640874187832,109,0,1,3
only_stability,0.4931790613887483,0.450680801576023,0.247787610619469,0.2852493244902973,13,17,19,64
only_temporal_consistency,0.7684416291911239,0.8488568347877594,0.415929203539823,0.6292942812901872,70,4,17,22
