dqi_formal_grade,component,component_weight,mean_component_score,median_component_score,mean_component_deficit,n_sensors,deficit_rank_within_grade
A,continuity,0.2,70.24984335839599,74.25595238095238,29.750156641604008,19,1
A,coverage,0.35,96.28149651478404,96.13419943857171,3.718503485215948,19,4
A,plausibility,0.1,100.0,100.0,0.0,19,5
A,stability,0.2,82.83214969862505,81.09855265274042,17.167850301374955,19,2
A,temporal_consistency,0.15,92.3753157894737,91.86475,7.624684210526297,19,3
B,continuity,0.2,64.35047398589064,61.532738095238095,35.649526014109355,36,2
B,coverage,0.35,96.64193506824876,96.97389630034856,3.358064931751244,36,4
B,plausibility,0.1,100.0,100.0,0.0,36,5
B,stability,0.2,54.127925493472304,54.491154820419816,45.872074506527696,36,1
B,temporal_consistency,0.15,90.4700763888889,91.02062500000002,9.5299236111111,36,3
C,continuity,0.2,27.680074555074555,9.15178571428571,72.31992544492545,33,1
C,coverage,0.35,93.35429133801856,93.6244571274517,6.645708661981445,33,4
C,plausibility,0.1,96.96347228083803,100.0,3.036527719161967,33,5
C,stability,0.2,47.10760041532347,45.41724798644666,52.89239958467653,33,2
C,temporal_consistency,0.15,75.35663636363637,73.04875,24.64336363636363,33,3
D,continuity,0.2,3.6507936507936503,0.0,96.34920634920636,25,1
D,coverage,0.35,77.36166674335172,83.72653515320607,22.63833325664828,25,4
D,plausibility,0.1,93.13473872124388,100.0,6.8652612787561225,25,5
D,stability,0.2,32.5080941247657,26.96119970159957,67.4919058752343,25,3
D,temporal_consistency,0.15,31.52907000000001,9.318000000000035,68.47092999999998,25,2
