model_family,scenario,mean_high_delta_rmse_pct,median_high_delta_rmse_pct,max_high_delta_rmse_pct,n_model_horizon_seed_records,rank_within_family
fast_temporal_topology,stuck_sensor,380.1587977238091,339.7401388252313,904.8272344945714,45,1
fast_temporal_topology,spike_noise,169.0060894308164,132.62661977782952,391.8979114391538,45,2
fast_temporal_topology,gaussian_noise,168.36648695963174,133.5524742776741,385.7892530807056,45,3
fast_temporal_topology,outage_block,107.82494403385589,86.62539924696522,285.63079083396985,45,4
fast_temporal_topology,time_shift,53.200158212138085,36.68667253690359,139.54311849785208,45,5
fast_temporal_topology,random_missing,11.84809235656979,6.383311318484449,44.61508716788404,45,6
ridge_selected,stuck_sensor,261.4111885693923,261.41046573740056,364.87989215745296,4,1
ridge_selected,gaussian_noise,134.9990849256487,134.53468631559795,181.31152577496744,4,2
ridge_selected,spike_noise,133.86944389425332,133.43075179534878,179.80311608165346,4,3
ridge_selected,outage_block,61.218682888433726,61.17766702160246,91.90688085212835,4,4
ridge_selected,time_shift,23.349494387276355,23.277694360379847,36.12791595851875,4,5
ridge_selected,random_missing,3.353415494114614,3.3309985793372623,5.2724742053260245,4,6
