model,horizon,feature_group,mean_abs_effective_coef_sum,median_abs_effective_coef_sum,mean_abs_effective_coef_share,median_abs_effective_coef_share,n_sensors,mean_correction_alpha
graph_temporal_ridge_strict,120min,rainfall,0.1088553455627983,0.0875923397286298,0.3880965965490173,0.3750433783921723,112,0.6785714285714286
graph_temporal_ridge_strict,120min,calendar,0.0755200901392146,0.0480172782788792,0.2381646754022203,0.2485053813369432,112,0.6785714285714286
graph_temporal_ridge_strict,120min,local_dynamics,0.0374382627247353,0.0279871573968281,0.124787285876494,0.1236718225639696,112,0.6785714285714286
graph_temporal_ridge_strict,120min,graph_topology,0.0326210869423564,0.0190710800085253,0.1036044971989165,0.0907363523190522,112,0.6785714285714286
graph_temporal_ridge_strict,120min,seasonal_difference,0.0274601720648802,0.0208743642859896,0.0972117662280335,0.0964559313263754,112,0.6785714285714286
graph_temporal_ridge_strict,120min,local_state,0.0119208019977584,0.0104560272237412,0.0481351787453183,0.0359642943629759,112,0.6785714285714286
graph_temporal_ridge_strict,30min,rainfall,0.0378416688859223,0.0278217059104019,0.3713097761055621,0.3600213081811867,112,0.6995535714285713
graph_temporal_ridge_strict,30min,local_dynamics,0.0257074543109301,0.0195298046106583,0.2328995039419618,0.2151601364693713,112,0.6995535714285713
graph_temporal_ridge_strict,30min,calendar,0.0186513288491274,0.0125467647669716,0.1729416260924842,0.1644926997773283,112,0.6995535714285713
graph_temporal_ridge_strict,30min,graph_topology,0.0137495136402768,0.0073895111614139,0.1091066617128922,0.0902281455157921,112,0.6995535714285713
graph_temporal_ridge_strict,30min,seasonal_difference,0.0073267412727563,0.005114154649271,0.0691037929629457,0.0658183462366535,112,0.6995535714285713
graph_temporal_ridge_strict,30min,local_state,0.0047454842643204,0.0035474279984539,0.0446386391841538,0.0369903096233434,112,0.6995535714285713
ridge_local_residual_strict,120min,rainfall,0.1100684357754635,0.0971949269833405,0.4307403955455693,0.4107764382863844,112,0.6687500000000001
ridge_local_residual_strict,120min,calendar,0.0763913163452343,0.0481977094264216,0.2655920709886961,0.276824135812634,112,0.6687500000000001
ridge_local_residual_strict,120min,local_dynamics,0.0405587913577215,0.0327377194007631,0.1463116824409761,0.1525861934937364,112,0.6687500000000001
ridge_local_residual_strict,120min,seasonal_difference,0.0249752271328114,0.0211265721823375,0.0986521572606219,0.0983236953323264,112,0.6687500000000001
ridge_local_residual_strict,120min,local_state,0.0142085748346267,0.0117746107228001,0.0587036937641365,0.0475112253413529,112,0.6687500000000001
ridge_local_residual_strict,30min,rainfall,0.038865942713736,0.0306762272085757,0.4167632249084074,0.4201296002158571,112,0.6825892857142858
ridge_local_residual_strict,30min,local_dynamics,0.0258155921354056,0.0200281814767078,0.26330818011703,0.2600109260616927,112,0.6825892857142858
ridge_local_residual_strict,30min,calendar,0.0195915119827796,0.013809339770626,0.2026693936155924,0.2054521153494236,112,0.6825892857142858
ridge_local_residual_strict,30min,seasonal_difference,0.0058438354336011,0.00477712093617,0.0656900737421298,0.0619381671692091,112,0.6825892857142858
ridge_local_residual_strict,30min,local_state,0.0049668402923772,0.0037062068758508,0.0515691276168401,0.0416289692857339,112,0.6825892857142858
